row,seconds,esp32_index,micros,v0,v1
519,30.120892,581,30120709,-173,58,4397
520,30.121293,582,30121110,-185,85,4390
521,30.121696,583,30121513,-185,85,4390
522,30.122090,584,30121907,-185,85,4390
523,30.122495,585,30122312,-212,97,4392
524,30.122891,586,30122708,-212,97,4392
525,30.123293,587,30123110,-197,76,4399
526,30.123696,588,30123513,-197,76,4399
527,30.124093,589,30123910,-197,76,4399
528,30.124499,590,30124316,-191,67,4364
529,30.124895,591,30124712,-191,67,4364
530,30.125296,592,30125113,-193,63,4351
531,30.125691,593,30125508,-193,63,4351
532,30.126088,594,30125905,-193,63,4351
533,30.126492,595,30126309,-172,76,4349
534,30.126888,596,30126705,-172,76,4349
535,30.127289,597,30127106,-203,76,4372
536,30.127693,598,30127510,-203,76,4372
537,30.128089,599,30127906,-203,76,4372
538,30.128492,600,30128309,-206,59,4375
539,30.128889,601,30128706,-206,59,4375
540,30.129291,602,30129108,-182,80,4347
541,30.129692,603,30129509,-182,80,4347
542,30.130080,604,30129897,-182,80,4347
543,30.130483,605,30130300,-214,85,4353
544,30.130886,606,30130703,-214,85,4353
545,30.131281,607,30131098,-216,68,4401
546,30.131673,608,30131490,-216,68,4401
547,30.132074,609,30131891,-216,68,4401
548,30.132480,610,30132297,-183,75,4410
549,30.132890,611,30132707,-183,75,4410
550,30.133285,612,30133102,-204,81,4356
551,30.133688,613,30133505,-204,81,4356
552,30.134083,614,30133900,-204,81,4356
553,30.134487,615,30134304,-197,69,4362
554,30.134888,616,30134705,-197,69,4362
555,30.135289,617,30135106,-177,76,4369
556,30.135693,618,30135510,-177,76,4369
557,30.136080,619,30135897,-177,76,4369
558,30.136473,620,30136290,-201,75,4391
559,30.136883,621,30136700,-201,75,4391
560,30.137284,622,30137101,-205,55,4437
561,30.137668,623,30137485,-205,55,4437
562,30.138077,624,30137894,-205,55,4437
563,30.138483,625,30138300,-198,69,4406
564,30.138864,626,30138681,-198,69,4406
565,30.139270,627,30139087,-182,88,4356
566,30.139660,628,30139477,-182,88,4356
567,30.140069,629,30139886,-182,88,4356
568,30.140475,630,30140292,-188,77,4339
569,30.140875,631,30140692,-188,77,4339
570,30.141279,632,30141096,-208,66,4363
571,30.141675,633,30141492,-208,66,4363
572,30.142077,634,30141894,-208,66,4363
573,30.142483,635,30142300,-201,50,4365
574,30.142884,636,30142701,-201,50,4365
575,30.143285,637,30143102,-206,50,4352
576,30.143683,638,30143500,-206,50,4352
577,30.144086,639,30143903,-206,50,4352
578,30.144491,640,30144308,-195,76,4367
579,30.144892,641,30144709,-195,76,4367
580,30.145286,642,30145103,-170,86,4363
581,30.145691,643,30145508,-170,86,4363
582,30.146091,644,30145908,-170,86,4363
583,30.146504,645,30146321,-182,74,4296
584,30.146899,646,30146716,-182,74,4296
585,30.147299,647,30147116,-195,53,4309
586,30.147698,648,30147515,-195,53,4309
587,30.148100,649,30147917,-195,53,4309
588,30.148495,650,30148312,-214,60,4372
589,30.148891,651,30148708,-214,60,4372
590,30.149288,652,30149105,-218,67,4369
591,30.149688,653,30149505,-218,67,4369
592,30.150076,654,30149893,-218,67,4369
593,30.150469,655,30150286,-188,83,4376
594,30.150870,656,30150687,-188,83,4376
595,30.151272,657,30151089,-181,102,4359
596,30.151668,658,30151485,-181,102,4359
597,30.152070,659,30151887,-181,102,4359
598,30.152476,660,30152293,-193,79,4374
599,30.152864,661,30152681,-193,79,4374
600,30.153234,662,30153051,-189,74,4391
601,30.153635,663,30153452,-189,74,4391
602,30.154029,664,30153846,-189,74,4391
603,30.154431,665,30154248,-184,73,4343
604,30.154839,666,30154656,-184,73,4343
605,30.155232,667,30155049,-173,60,4336
606,30.155630,668,30155447,-173,60,4336
607,30.156027,669,30155844,-173,60,4336
608,30.156413,670,30156230,-181,64,4357
609,30.156804,671,30156621,-181,64,4357
610,30.157210,672,30157027,-181,64,4357
611,30.157597,673,30157414,-218,69,4360
612,30.158006,674,30157823,-218,69,4360
613,30.158408,675,30158225,-214,79,4384
614,30.158802,676,30158619,-214,79,4384
615,30.159215,677,30159032,-214,79,4384
616,30.159604,678,30159421,-213,83,4407
617,30.160011,679,30159828,-213,83,4407
618,30.160411,680,30160228,-224,85,4371
619,30.160812,681,30160629,-224,85,4371
620,30.161219,682,30161036,-224,85,4371
621,30.161606,683,30161423,-229,110,4334
622,30.162012,684,30161829,-229,110,4334
623,30.162414,685,30162231,-243,102,4375
624,30.162808,686,30162625,-243,102,4375
625,30.163216,687,30163033,-243,102,4375
626,30.163604,688,30163421,-233,84,4358
627,30.164016,689,30163833,-233,84,4358
628,30.164417,690,30164234,-221,82,4308
629,30.164819,691,30164636,-221,82,4308
630,30.165224,692,30165041,-221,80,4343
631,30.165612,693,30165429,-221,80,4343
632,30.166024,694,30165841,-221,80,4343
633,30.166425,695,30166242,-217,84,4398
634,30.166826,696,30166643,-217,84,4398
635,30.167230,697,30167047,-207,92,4375
636,30.167613,698,30167430,-207,92,4375
637,30.168019,699,30167836,-207,92,4375
638,30.168420,700,30168237,-202,93,4367
639,30.168806,701,30168623,-202,93,4367
640,30.169205,702,30169022,-202,93,4367
641,30.169586,703,30169403,-193,88,4376
642,30.169968,704,30169785,-193,88,4376
643,30.170378,705,30170195,-187,79,4361
644,30.170772,706,30170589,-187,79,4361
645,30.171185,707,30171002,-187,79,4361
646,30.171579,708,30171396,-197,78,4378
647,30.171975,709,30171792,-197,78,4378
648,30.172376,710,30172193,-210,81,4360
649,30.172777,711,30172594,-210,81,4360
650,30.173189,712,30173006,-210,81,4360
651,30.173576,713,30173393,-207,92,4319
652,30.173982,714,30173799,-207,92,4319
653,30.174384,715,30174201,-196,98,4328
654,30.174785,716,30174602,-196,98,4328
655,30.175191,717,30175008,-196,98,4328
656,30.175578,718,30175395,-181,85,4349
657,30.175983,719,30175800,-181,85,4349
658,30.176385,720,30176202,-188,89,4370
659,30.176780,721,30176597,-188,89,4370
660,30.177192,722,30177009,-188,89,4370
661,30.177579,723,30177396,-222,110,4411
