sample_index,micros,ax,ay,az
28321,61983971,-12546,-1313,2464
28322,61984389,-12546,-1313,2464
28323,61984807,-31865,-694,3211
28324,61985218,-31865,-694,3211
28325,61985636,-31865,-694,3211
28326,61986051,-4456,-182,6141
28327,61986470,-4456,-182,6141
28328,61986873,4259,-709,9249
28329,61987269,4259,-709,9249
28330,61987680,4259,-709,9249
28331,61988092,-4492,-1187,5451
28332,61988492,-4492,-1187,5451
28333,61988906,-2174,-1342,5954
28334,61989324,-2174,-1342,5954
28335,61989741,3270,-54,6452
28336,61990146,3270,-54,6452
28337,61990558,3270,-54,6452
28338,61990954,3326,-60,2847
28339,61991356,3326,-60,2847
28340,61991759,1839,-662,3170
28341,61992167,1839,-662,3170
28342,61992572,1839,-662,3170
28343,61992974,3987,-251,6265
28344,61993384,3987,-251,6265
28345,61993792,1505,-268,6864
28346,61994194,1505,-268,6864
28347,61994595,1505,-268,6864
28348,61995004,-1663,-913,4041
28349,61995427,-1663,-913,4041
28350,61995839,916,-1186,3029
28351,61996242,916,-1186,3029
28352,61996645,916,-1186,3029
28353,61997050,4652,-140,3893
28354,61997420,4652,-140,3893
28355,61997809,9355,700,2946
28356,61998213,9355,700,2946
28357,61998602,9355,700,2946
28358,61999008,8076,778,1203
28359,61999403,8076,778,1203
28360,61999804,5702,761,1024
28361,62000200,5702,761,1024
28362,62000601,5702,761,1024
28363,62001002,4442,674,2832
28364,62001402,4442,674,2832
28365,62001799,1943,700,5864
28366,62002194,1943,700,5864
28367,62002590,1943,700,5864
28368,62002991,2928,865,8009
28369,62003380,2928,865,8009
28370,62003782,1645,597,7828
28371,62004177,1645,597,7828
28372,62004578,1645,597,7828
28373,62004971,-4029,270,7023
28374,62005386,-4029,270,7023
28375,62005789,-7795,726,6870
28376,62006191,-7795,726,6870
28377,62006594,-7795,726,6870
28378,62007009,-6267,1534,6771
28379,62007411,-6267,1534,6771
28380,62007828,-4924,1824,6559
28381,62008218,-4924,1824,6559
28382,62008635,-4924,1824,6559
28383,62009041,-8465,1627,5755
28384,62009451,-8465,1627,5755
28385,62009855,-9587,1407,4881
28386,62010259,-9587,1407,4881
28387,62010662,-9587,1407,4881
28388,62011076,-10654,1222,5434
28389,62011473,-10654,1222,5434
28390,62011882,-5446,-554,2923
28391,62012286,-5446,-554,2923
28392,62012691,-5446,-554,2923
28393,62013103,22189,-1986,-3680
28394,62013527,22189,-1986,-3680
28395,62013917,27876,-1018,-4310
28396,62014320,27876,-1018,-4310
28397,62014732,-4322,-645,1108
28398,62015150,-4322,-645,1108
28399,62015562,-4322,-645,1108
28400,62015972,-20747,-1058,3369
28401,62016390,-20747,-1058,3369
28402,62016807,-14745,-206,4802
28403,62017211,-14745,-206,4802
28404,62017635,-14745,-206,4802
28405,62018048,-1845,-321,7659
28406,62018466,-1845,-321,7659
28407,62018870,3777,-1441,6727
28408,62019273,3777,-1441,6727
28409,62019663,3777,-1441,6727
28410,62020083,-3381,-1234,5911
28411,62020493,-3381,-1234,5911
28412,62020901,-2427,-311,6545
28413,62021320,-2427,-311,6545
28414,62021738,5028,228,4007
28415,62022126,5028,228,4007
28416,62022527,5028,228,4007
28417,62022915,3354,-354,2973
28418,62023331,3354,-354,2973
28419,62023734,994,-488,5192
28420,62024149,994,-488,5192
28421,62024554,994,-488,5192
28422,62024956,3122,-265,6977
28423,62025359,3122,-265,6977
28424,62025760,767,-849,5280
28425,62026163,767,-849,5280
28426,62026577,767,-849,5280
28427,62026973,-1863,-1194,2937
28428,62027396,-1863,-1194,2937
28429,62027805,2069,-489,3827
28430,62028215,2069,-489,3827
28431,62028618,2069,-489,3827
28432,62029032,9022,490,3674
28433,62029420,9022,490,3674
28434,62029822,9245,796,1494
28435,62030204,9245,796,1494
28436,62030606,9245,796,1494
28437,62030988,5250,801,747
28438,62031390,5250,801,747
28439,62031786,5254,724,2128
28440,62032187,5254,724,2128
28441,62032582,5254,724,2128
28442,62032982,3468,734,5021
28443,62033378,3468,734,5021
28444,62033779,1586,946,7631
28445,62034174,1586,946,7631
28446,62034574,1586,946,7631
28447,62034965,2075,664,7959
28448,62035366,2075,664,7959
28449,62035761,-1807,275,7155
28450,62036175,-1807,275,7155
28451,62036571,-1807,275,7155
28452,62036978,-6507,576,6918
28453,62037388,-6507,576,6918
28454,62037797,-6580,1274,6970
28455,62038201,-6580,1274,6970
28456,62038610,-6580,1274,6970
28457,62039012,-4664,1778,6536
28458,62039421,-4664,1778,6536
28459,62039825,-7243,1721,5950
28460,62040235,-7243,1721,5950
28461,62040638,-7243,1721,5950
28462,62041053,-9272,1524,5131
28463,62041457,-9272,1524,5131
28464,62041859,-10182,1182,4711
28465,62042258,-10182,1182,4711
28466,62042667,-10182,1182,4711
28467,62043068,-9068,56,4532
28468,62043485,-9068,56,4532
28469,62043880,14450,-1562,-1267
28470,62044292,14450,-1562,-1267
28471,62044704,14450,-1562,-1267
28472,62045121,27366,-1058,-4788
28473,62045534,27366,-1058,-4788
28474,62045949,9368,-617,-21
28475,62046359,9368,-617,-21
28476,62046776,-18930,-1046,2660
28477,62047171,-18930,-1046,2660
28478,62047583,-18930,-1046,2660
28479,62047996,-24083,-367,3298
28480,62048412,-24083,-367,3298
28481,62048816,-306,-479,6814
28482,62049233,-306,-479,6814
28483,62049644,-306,-479,6814
28484,62050063,6397,-1305,8327
28485,62050470,6397,-1305,8327
28486,62050866,-6308,-1395,6008
28487,62051271,-6308,-1395,6008
28488,62051688,-6308,-1395,6008
28489,62052100,-3984,-631,6044
28490,62052519,-3984,-631,6044
28491,62052916,6701,-24,5256
28492,62053332,6701,-24,5256
28493,62053735,2055,89,2903
28494,62054129,2055,89,2903
28495,62054524,2055,89,2903
28496,62054917,-103,-516,3687
28497,62055341,-103,-516,3687
28498,62055758,4621,-457,6500
28499,62056162,4621,-457,6500
28500,62056573,4621,-457,6500
28501,62056969,1494,-579,6487
